**************************************************************
                         GLOUTON
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.1330          0.416           
100             400             1.1030          0.044           
500             2000            0.1660          0.208           
1000            1000            0.0060          0.47            
1000            100             0.0580          0.379           
1000            10              0.5370          0.343           
100             1000            0.4310          0.043           
100             100             0.4710          0.04            
100             10              4.4310          0.04            
10              1000            5.8140          0.009           
10              100             3.7620          0.009           
10              10              9.0910          0.008           
2000            1000            0.0030          0.906           
2000            100             0.0290          0.883           
2000            10              0.2670          0.708           
200             1000            0.0490          0.102           
200             100             0.2880          0.094           
200             10              2.6950          0.086           
20              1000            2.6730          0.013           
20              100             2.0490          0.014           
20              10              9.0910          0.013           
500             1000            0.0150          0.238           
500             100             0.1170          0.246           
500             10              1.0720          0.181           
50              1000            0.9450          0.024           
50              100             1.0760          0.028           
50              10              6.8120          0.027           


**************************************************************
                         PROGDYN1
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.3860          16.874          
100             400             1.3070          0.271           
500             2000            0.6310          4.714           
1000            1000            0.0960          742.716         
1000            100             0.9930          8.338           
1000            10              10.997          0.16            
100             1000            0.0890          8.529           
100             100             0.8410          0.149           
100             10              9.4440          0.01            
10              1000            1.0090          1.535           
10              100             1.9800          0.023           
10              10              13.636          0.006           
2000            1000            0.0980          2978.777        
2000            100             1.0030          34.567          
2000            10              11.006          0.532           
200             1000            0.0920          31.239          
200             100             0.9700          0.45            
200             10              10.362          0.016           
20              1000            0.2880          1.763           
20              100             1.0720          0.025           
20              10              9.0910          0.006           
500             1000            0.0960          176.306         
500             100             0.9690          2.389           
500             10              10.921          0.052           
50              1000            0.0950          2.694           
50              100             0.8400          0.05            
50              10              8.6970          0.007           


**************************************************************
                         PROGDYN2
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.0000          26.658          
100             400             0.0000          0.446           
500             2000            0.0000          8.063           
1000            1000            0.0000          119.692         
1000            100             0.0000          13.117          
1000            10              0.0000          1.721           
100             1000            0.0000          2.215           
100             100             0.0000          0.21            
100             10              0.0000          0.029           
10              1000            16.723          0.144           
10              100             4.6530          0.022           
10              10              0.0000          0.008           
2000            1000            0.0000          473.978         
2000            100             0.0000          48.898          
2000            10              0.0000          7.082           
200             1000            0.0000          6.636           
200             100             0.0000          0.741           
200             10              0.0000          0.071           
20              1000            4.5550          0.235           
20              100             0.0000          0.043           
20              10              0.0000          0.006           
500             1000            0.0000          32.419          
500             100             0.0000          3.647           
500             10              0.0000          0.429           
50              1000            0.0000          0.944           
50              100             0.0000          0.089           
50              10              0.0000          0.011           


**************************************************************
                         RECUIT
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.4320          200.325         
100             400             0.5290          25.458          
500             2000            0.5960          106.029         
1000            1000            0.4110          221.324         
1000            100             0.2880          201.917         
1000            10              0.2320          240.736         
100             1000            1.8290          32.184          
100             100             1.1000          29.922          
100             10              0.2330          25.869          
10              1000            12.218          4.814           
10              100             8.6140          4.539           
10              10              5.4550          4.736           
2000            1000            0.1340          418.288         
2000            100             0.1660          410.233         
2000            10              0.3430          400.444         
200             1000            0.7430          45.057          
200             100             1.2890          45.823          
200             10              0.6610          44.948          
20              1000            6.7080          6.906           
20              100             3.5370          6.922           
20              10              0.0000          7.142           
500             1000            0.4570          104.136         
500             100             0.4960          105.499         
500             10              0.2650          103.04          
50              1000            2.8440          14.082          
50              100             2.0950          13.455          
50              10              0.0000          12.884          


