**************************************************************
                         GLOUTON
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.1330          0.386           
100             400             1.1030          0.04            
500             2000            0.1660          0.194           
1000            1000            0.0060          0.449           
1000            100             0.0580          0.436           
1000            10              0.5370          0.354           
100             1000            0.4310          0.042           
100             100             0.4710          0.042           
100             10              4.4310          0.044           
10              1000            5.8140          0.008           
10              100             3.7620          0.008           
10              10              9.0910          0.009           
2000            1000            0.0030          0.951           
2000            100             0.0290          0.802           
2000            10              0.2670          0.728           
200             1000            0.0490          0.086           
200             100             0.2880          0.088           
200             10              2.6950          0.078           
20              1000            2.6730          0.012           
20              100             2.0490          0.012           
20              10              9.0910          0.013           
500             1000            0.0150          0.207           
500             100             0.1170          0.207           
500             10              1.0720          0.188           
50              1000            0.9450          0.025           
50              100             1.0760          0.023           
50              10              6.8120          0.023           


**************************************************************
                         PROGDYN1
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.3860          17.601          
100             400             1.3070          0.253           
500             2000            0.6310          4.883           
1000            1000            0.0960          746.855         
1000            100             0.9930          8.792           
1000            10              10.997          0.141           
100             1000            0.0890          9.003           
100             100             0.8410          0.151           
100             10              9.4440          0.01            
10              1000            1.0090          1.379           
10              100             1.9800          0.024           
10              10              13.636          0.006           
2000            1000            0.0980          3004.26         
2000            100             1.0030          32.904          
2000            10              11.006          0.547           
200             1000            0.0920          32.468          
200             100             0.9700          0.45            
200             10              10.362          0.017           
20              1000            0.2880          1.499           
20              100             1.0720          0.022           
20              10              9.0910          0.005           
500             1000            0.0960          182.234         
500             100             0.9690          2.476           
500             10              10.921          0.053           
50              1000            0.0950          2.863           
50              100             0.8400          0.043           
50              10              8.6970          0.008           


**************************************************************
                         PROGDYN2
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.0000          20.786          
100             400             0.0000          0.316           
500             2000            0.0000          5.347           
1000            1000            0.0000          123.086         
1000            100             0.0000          13.485          
1000            10              0.0000          1.585           
100             1000            0.0000          2.361           
100             100             0.0000          0.194           
100             10              0.0000          0.027           
10              1000            16.723          0.111           
10              100             4.6530          0.02            
10              10              0.0000          0.007           
2000            1000            0.0000          484.382         
2000            100             0.0000          50.697          
2000            10              0.0000          6.82            
200             1000            0.0000          6.352           
200             100             0.0000          0.686           
200             10              0.0000          0.076           
20              1000            4.5550          0.247           
20              100             0.0000          0.031           
20              10              0.0000          0.009           
500             1000            0.0000          32.445          
500             100             0.0000          3.636           
500             10              0.0000          0.449           
50              1000            0.0000          0.859           
50              100             0.0000          0.078           
50              10              0.0000          0.012           


**************************************************************
                         RECUIT
**************************************************************
n               m               Ecart moyen     Duree moyenne   
**************************************************************
1000            4000            0.4320          203.146         
100             400             0.5290          25.817          
500             2000            0.5960          109.896         
1000            1000            0.4110          212.44          
1000            100             0.2880          205.571         
1000            10              0.2320          208.546         
100             1000            1.8290          24.609          
100             100             1.1000          24.467          
100             10              0.2330          24.496          
10              1000            12.218          4.709           
10              100             8.6140          4.701           
10              10              5.4550          4.604           
2000            1000            0.1340          406.785         
2000            100             0.1660          405.58          
2000            10              0.3430          421.253         
200             1000            0.7430          46.412          
200             100             1.2890          49.757          
200             10              0.6610          45.436          
20              1000            6.7080          7.085           
20              100             3.5370          7.166           
20              10              0.0000          7.383           
500             1000            0.4570          107.596         
500             100             0.4960          108.46          
500             10              0.2650          107.588         
50              1000            2.8440          13.901          
50              100             2.0950          13.322          
50              10              0.0000          13.076          


